,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
19352,NC,28520,110,110,4810,90,3248
19353,NC,28521,870,870,37052,710,26408
19354,NC,28523,1150,1150,51091,940,36870
19355,NC,28524,160,160,7610,120,5639
19356,NC,28525,1350,1350,56929,1180,41945
19357,NC,28526,940,940,37257,780,28192
19358,NC,28527,530,530,25599,430,18591
19359,NC,28528,250,250,11076,190,6915
19360,NC,28529,840,840,37899,660,25815
19361,NC,28530,3380,3380,124355,2850,92248
19362,NC,28531,560,560,34131,370,18696
19363,NC,28532,9370,9370,407344,8240,309729
19364,NC,28533,1170,1170,27752,1170,27813
19365,NC,28538,940,940,34565,840,27265
19366,NC,28539,6800,6800,300673,5940,230607
19367,NC,28540,19870,19870,880568,17180,643925
19368,NC,28543,1630,1630,55147,1630,54035
19369,NC,28544,2100,2100,60911,1910,51537
19370,NC,28546,19700,19700,835830,17410,631438
19371,NC,28547,2760,2760,120346,2720,115597
19372,NC,28551,5570,5570,255908,4810,185555
19373,NC,28553,210,210,9531,160,6167
19374,NC,28554,170,170,6445,130,3862
19375,NC,28555,2220,2220,87275,1880,66231
19376,NC,28556,370,370,23357,260,10915
19377,NC,28557,7300,7300,476508,5340,257631
19378,NC,28560,12070,12070,605196,9470,384970
19379,NC,28562,17610,17610,1155701,13430,693783
19380,NC,28570,9620,9620,471093,7840,321335
19381,NC,28571,1290,1290,94622,790,35896
19382,NC,28572,2950,2950,112847,2540,87475
19383,NC,28573,920,920,46082,710,28449
19384,NC,28574,7040,7040,305934,6110,237720
19385,NC,28577,110,110,5571,80,4150
19386,NC,28578,2140,2140,82688,1920,64349
19387,NC,28579,260,260,12636,180,8264
19388,NC,28580,4090,4090,167068,3450,121659
19389,NC,28582,880,880,50503,690,32489
19390,NC,28584,6150,6150,387460,4670,237182
19391,NC,28585,1580,1580,64804,1310,45271
19392,NC,28586,2830,2830,115609,2340,87396
19393,NC,28587,100,100,3546,70,1813
19394,NC,28590,11880,11880,770049,10410,610618
19395,NC,28594,2180,2180,198368,1490,86681
19396,NC,28601,22980,22980,1562811,19220,1041516
19397,NC,28602,12270,12270,569194,10780,441876
19398,NC,28604,2860,2860,157234,2200,91202
19399,NC,28605,1940,1940,183633,1410,83746
19400,NC,28606,840,840,33186,710,25018
19401,NC,28607,11070,11070,636034,9170,391457
19402,NC,28609,2690,2690,152269,2360,114997
19403,NC,28610,4530,4530,201365,3980,159725
19404,NC,28611,310,310,14196,250,10610
19405,NC,28612,4620,4620,189013,4050,152381
19406,NC,28613,10530,10530,531714,9190,386986
19407,NC,28615,710,710,26717,530,17939
19408,NC,28616,240,240,12963,210,8596
19409,NC,28617,830,830,32054,670,22095
19410,NC,28618,1040,1040,48348,860,36057
19411,NC,28619,840,840,33335,680,24536
19412,NC,28621,4080,4080,188752,3360,132779
19413,NC,28622,900,900,32990,710,23405
19414,NC,28623,660,660,29635,550,19093
19415,NC,28624,610,610,26067,490,17763
19416,NC,28625,16690,16690,857134,14190,627484
19417,NC,28626,1000,1000,54620,790,36062
19418,NC,28627,510,510,22093,380,13716
19419,NC,28628,500,500,19137,380,12169
19420,NC,28629,110,110,5555,80,2923
19421,NC,28630,8260,8260,408754,7180,307174
19422,NC,28631,250,250,10898,210,7291
19423,NC,28634,2180,2180,87605,1880,70111
19424,NC,28635,1480,1480,57296,1250,43071
19425,NC,28636,2170,2170,87257,1890,67733
19426,NC,28637,1040,1040,44736,890,34963
19427,NC,28638,5360,5360,222448,4640,174725
19428,NC,28640,1940,1940,107307,1530,60769
19429,NC,28642,2210,2210,84685,1870,66811
19430,NC,28643,1240,1240,47360,980,35131
19431,NC,28644,590,590,28363,440,16934
19432,NC,28645,18160,18160,787885,15290,558220
19433,NC,28646,420,420,33938,300,14970
19434,NC,28647,120,120,6755,90,3906
19435,NC,28649,380,380,14323,310,11111
19436,NC,28650,5690,5690,270022,5000,213395
19437,NC,28651,2620,2620,114637,2170,83120
19438,NC,28654,1530,1530,72697,1240,45931
19439,NC,28655,21090,21090,973946,17540,684783
19440,NC,28657,3390,3390,137772,2660,89372
19441,NC,28658,11950,11950,591619,10320,424615
19442,NC,28659,8220,8220,370232,6910,252625
19443,NC,28660,970,970,49366,820,32954
19444,NC,28662,150,150,6068,100,3824
19445,NC,28663,250,250,10411,170,6252
19446,NC,28665,1060,1060,51162,880,34040
19447,NC,28666,410,410,14587,370,11808
19448,NC,28667,210,210,5875,200,5190
19449,NC,28668,160,160,19163,90,8116
19450,NC,28669,1160,1160,45125,930,33986
19451,NC,28670,1100,1100,50163,910,37656
19452,NC,28671,460,460,22811,330,15615
19453,NC,28673,2950,2950,263605,2350,169427
19454,NC,28675,2540,2540,111729,1940,65408
19455,NC,28676,1550,1550,87602,1240,58365
19456,NC,28677,14800,14800,664746,12830,489030
19457,NC,28678,2080,2080,92251,1800,72106
19458,NC,28679,830,830,44366,670,26956
19459,NC,28681,10200,10200,510294,8710,360826
19460,NC,28682,630,630,66478,460,41683
19461,NC,28683,720,720,27839,570,20462
19462,NC,28684,770,770,41692,610,27396
19463,NC,28685,700,700,29133,560,21453
19464,NC,28689,820,820,49454,670,35367
19465,NC,28690,3840,3840,174818,3200,125269
19466,NC,28692,1790,1790,98470,1460,60658
19467,NC,28693,580,580,22277,430,15442
19468,NC,28694,3510,3510,166007,2680,100451
19469,NC,28697,5280,5280,307990,4230,186644
19470,NC,28698,830,830,36841,670,25636
19471,NC,28701,1830,1830,89249,1480,63736
19472,NC,28702,190,190,8128,140,5185
19473,NC,28704,10580,10580,699032,8880,480112
19474,NC,28705,2360,2360,99962,1860,71105
19475,NC,28707,200,200,7352,140,4828
19476,NC,28708,210,210,8285,160,5512
