,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
3742,CT,6058,830,830,75388,630,37679
3743,CT,6060,1200,1200,156775,1000,112877
3744,CT,6061,120,120,6282,110,4564
3745,CT,6062,9370,9370,576167,7910,440656
3746,CT,6063,1650,1650,132605,1410,96483
3747,CT,6065,370,370,26225,310,19914
3748,CT,6066,15500,15500,973759,13120,731880
3749,CT,6067,10550,10550,880237,8610,644033
3750,CT,6068,700,700,87133,430,31851
3751,CT,6069,1150,1150,171424,760,57457
3752,CT,6070,7580,7580,1025777,6100,729336
3753,CT,6071,4590,4590,451972,3720,304220
3754,CT,6073,2830,2830,523385,2320,329929
3755,CT,6074,13320,13320,1258758,10970,926814
3756,CT,6076,6050,6050,383646,5100,291995
3757,CT,6078,5130,5130,636622,4130,417352
3758,CT,6081,740,740,47413,620,36719
3759,CT,6082,20960,20960,1281318,17760,991495
3760,CT,6084,7130,7130,715278,6030,539705
3761,CT,6085,3560,3560,354410,3010,264563
3762,CT,6088,2670,2670,164746,2240,118832
3763,CT,6089,1570,1570,195419,1330,150162
3764,CT,6090,580,580,84914,480,62602
3765,CT,6092,1980,1980,354289,1630,227431
3766,CT,6093,1790,1790,177045,1480,117450
3767,CT,6095,15700,15700,1060955,13300,803758
3768,CT,6096,6870,6870,404623,5700,307841
3769,CT,6098,5020,5020,276179,4180,200204
3770,CT,6103,1360,1360,152976,1250,111478
3771,CT,6105,8280,8280,432227,7510,325766
3772,CT,6106,15490,15490,491143,14150,427184
3773,CT,6107,9620,9620,1436392,7620,930727
3774,CT,6108,11750,11750,476507,10510,396440
3775,CT,6109,14090,14090,1164097,11360,809843
3776,CT,6110,6500,6500,380644,5490,298829
3777,CT,6111,16210,16210,1103271,13210,828937
3778,CT,6112,9640,9640,285584,8650,246535
3779,CT,6114,11480,11480,361875,10530,318048
3780,CT,6117,7170,7170,1269207,5530,730491
3781,CT,6118,13980,13980,695141,12000,542238
3782,CT,6119,7280,7280,650994,6200,481372
3783,CT,6120,4620,4620,112322,4230,98812
3784,CT,6226,7160,7160,253345,6410,204166
3785,CT,6231,1880,1880,176718,1590,135176
3786,CT,6232,1660,1660,135060,1370,96238
3787,CT,6234,3810,3810,252682,3150,178351
3788,CT,6235,1130,1130,68609,930,49021
3789,CT,6237,2790,2790,235097,2230,163834
3790,CT,6238,6330,6330,496575,5320,369001
3791,CT,6239,5100,5100,263228,4450,208335
3792,CT,6241,3020,3020,184369,2670,139953
3793,CT,6242,740,740,53221,620,35959
3794,CT,6243,140,140,7180,130,5183
3795,CT,6247,1210,1210,83493,970,56757
3796,CT,6248,2780,2780,276729,2330,208249
3797,CT,6249,3580,3580,258032,2960,186544
3798,CT,6250,2380,2380,194053,1940,119826
3799,CT,6254,980,980,74004,810,51220
3800,CT,6255,2140,2140,124573,1880,96831
3801,CT,6256,1150,1150,58553,910,41234
3802,CT,6259,1820,1820,158530,1520,108919
3803,CT,6260,4400,4400,222010,3860,173152
3804,CT,6262,310,310,15487,230,11175
3805,CT,6263,200,200,8646,190,7239
3806,CT,6264,320,320,19315,240,13089
3807,CT,6266,300,300,15340,240,10509
3808,CT,6268,3190,3190,284471,2440,173687
3809,CT,6277,2090,2090,141760,1810,107701
3810,CT,6278,2220,2220,152682,1860,109743
3811,CT,6279,2760,2760,200816,2300,149084
3812,CT,6280,1570,1570,98434,1310,66602
3813,CT,6281,3210,3210,290389,2710,198296
3814,CT,6282,550,550,41318,460,30432
3815,CT,6320,12700,12700,524104,11370,405599
3816,CT,6330,1430,1430,82306,1260,64145
3817,CT,6331,2500,2500,159320,2120,120918
3818,CT,6332,410,410,17204,360,13760
3819,CT,6333,3610,3610,411859,3040,297293
3820,CT,6334,1290,1290,92529,1070,60225
3821,CT,6335,3280,3280,254917,2800,185909
3822,CT,6339,4140,4140,300128,3490,217675
3823,CT,6340,13730,13730,818404,11850,607527
3824,CT,6350,120,120,6515,100,4185
3825,CT,6351,7800,7800,468315,6700,352743
3826,CT,6353,220,220,9386,170,7501
3827,CT,6354,2570,2570,131866,2240,107205
3828,CT,6355,6780,6780,662039,5100,399230
3829,CT,6357,5700,5700,473832,4270,299635
3830,CT,6359,2660,2660,225403,2160,145448
3831,CT,6360,17880,17880,842550,15660,638397
3832,CT,6365,2320,2320,163111,1910,115114
3833,CT,6370,3660,3660,261065,3160,196774
3834,CT,6371,4960,4960,738900,3650,358384
3835,CT,6373,240,240,12045,210,10335
3836,CT,6374,3660,3660,196182,3210,156577
3837,CT,6375,2010,2010,135898,1690,99166
3838,CT,6376,110,110,10340,70,4710
3839,CT,6377,1320,1320,79671,1190,64907
3840,CT,6378,2880,2880,403543,2160,188814
3841,CT,6379,4500,4500,331152,3780,236594
3842,CT,6380,1180,1180,43687,1070,35647
3843,CT,6382,5160,5160,278847,4280,203621
3844,CT,6384,1330,1330,86433,1110,66009
3845,CT,6385,8440,8440,679774,6720,445279
3846,CT,6387,290,290,10226,280,9122
3847,CT,6389,120,120,7005,100,5440
3848,CT,6401,9180,9180,456674,8040,372679
3849,CT,6403,3040,3040,221596,2590,172658
3850,CT,6405,15490,15490,1420165,12260,882052
3851,CT,6409,360,360,25087,280,16431
3852,CT,6410,13290,13290,1474596,10890,1025184
3853,CT,6412,1990,1990,183138,1540,114057
3854,CT,6413,6890,6890,550698,5660,377038
3855,CT,6414,190,190,14216,140,10080
3856,CT,6415,8240,8240,664111,7010,507873
3857,CT,6416,7480,7480,689473,6120,482351
3858,CT,6417,2310,2310,231345,1880,136349
3859,CT,6418,6260,6260,338272,5350,267681
3860,CT,6419,3200,3200,338304,2510,229655
3861,CT,6420,2090,2090,189247,1760,141768
3862,CT,6422,3710,3710,429228,3080,286068
3863,CT,6423,2550,2550,227761,2100,159919
3864,CT,6424,6270,6270,530268,5230,394897
3865,CT,6426,1790,1790,312010,1170,138989
3866,CT,6437,11050,11050,1484637,8590,905208
3867,CT,6438,1360,1360,135759,1080,92694
3868,CT,6441,2780,2780,258195,2290,185575
3869,CT,6442,1440,1440,131779,1190,95987
3870,CT,6443,8950,8950,1324486,6940,813286
3871,CT,6444,380,380,30975,310,23913
3872,CT,6447,3080,3080,333645,2540,245333
3873,CT,6450,17490,17490,917304,15300,721492
3874,CT,6451,11620,11620,566682,10220,458357
3875,CT,6455,1630,1630,149289,1320,105303
3876,CT,6456,200,200,28443,150,15080
3877,CT,6457,22260,22260,1437125,19100,1117751
3878,CT,6460,20150,20150,1631947,16630,1201914
3879,CT,6461,7550,7550,654526,6120,497572
3880,CT,6467,210,210,12630,180,10067
3881,CT,6468,9410,9410,1013185,7750,732577
3882,CT,6469,1610,1610,114181,1340,86304
3883,CT,6470,7610,7610,1015795,6080,692191
3884,CT,6471,3910,3910,308997,3150,208259
3885,CT,6472,3410,3410,287505,2850,200873
3886,CT,6473,12640,12640,1093703,10240,742649
3887,CT,6475,5680,5680,604192,4210,344403
3888,CT,6477,7210,7210,838825,5670,549754
3889,CT,6478,6330,6330,592129,5150,423108
3890,CT,6479,5040,5040,387597,4210,299949
3891,CT,6480,4730,4730,405035,3910,290027
3892,CT,6481,590,590,43196,500,32194
3893,CT,6482,5190,5190,605937,4320,457187
3894,CT,6483,8360,8360,573516,7140,452621
3895,CT,6484,20840,20840,1771774,16900,1248769
3896,CT,6488,9690,9690,979565,6840,622943
3897,CT,6489,16390,16390,1395374,13360,1015186
3898,CT,6492,23300,23300,1770668,19430,1274905
3899,CT,6498,3580,3580,371151,2770,201880
3900,CT,6510,1560,1560,146837,1420,111205
3901,CT,6511,20860,20860,1154929,18940,859741
3902,CT,6512,14770,14770,836072,12510,645281
3903,CT,6513,16330,16330,622654,14600,528642
3904,CT,6514,12880,12880,731052,11130,582133
3905,CT,6515,7100,7100,432013,6320,327502
3906,CT,6516,25940,25940,1283280,22480,1024549
3907,CT,6517,7390,7390,628021,5980,426397
3908,CT,6518,7410,7410,617237,5940,444128
3909,CT,6519,6010,6010,184166,5480,161076
3910,CT,6524,2760,2760,323207,2310,210832
3911,CT,6525,4440,4440,832519,3500,496100
3912,CT,6604,11560,11560,424330,9770,334369
3913,CT,6605,10310,10310,433154,9050,350348
3914,CT,6606,21980,21980,904124,18540,743546
3915,CT,6607,3390,3390,94714,3120,84336
3916,CT,6608,5720,5720,147264,5240,133145
3917,CT,6610,10810,10810,397701,9680,341181
3918,CT,6611,17120,17120,1962543,13650,1354575
3919,CT,6612,3510,3510,693253,2690,389414
3920,CT,6614,17320,17320,1215449,13970,892934
3921,CT,6615,9560,9560,538980,8150,414340
3922,CT,6702,1080,1080,22981,970,19208
3923,CT,6704,11290,11290,384980,10100,327828
3924,CT,6705,12440,12440,482158,11030,404838
3925,CT,6706,6340,6340,234013,5580,193487
3926,CT,6708,14020,14020,653494,12030,513808
3927,CT,6710,3970,3970,135723,3570,109255
3928,CT,6712,4920,4920,383762,4020,285126
3929,CT,6716,8240,8240,587164,7030,448284
3930,CT,6750,660,660,42476,510,27621
3931,CT,6751,1830,1830,149074,1420,94112
3932,CT,6752,870,870,142658,620,61956
3933,CT,6754,780,780,63123,600,36963
3934,CT,6755,580,580,43759,480,30968
3935,CT,6756,1480,1480,156255,1150,89291
3936,CT,6757,1070,1070,99499,790,46560
3937,CT,6759,2880,2880,340989,2120,167814
3938,CT,6762,3690,3690,506679,2970,298578
3939,CT,6763,1050,1050,99967,830,63770
3940,CT,6770,15310,15310,846832,13330,689376
3941,CT,6776,13290,13290,1032222,11200,754038
3942,CT,6777,870,870,101775,610,46278
3943,CT,6778,630,630,47088,520,35418
3944,CT,6779,4110,4110,226006,3500,180369
3945,CT,6782,1190,1190,80194,990,59482
3946,CT,6783,1070,1070,176783,740,81259
3947,CT,6784,1760,1760,217217,1340,129472
3948,CT,6785,330,330,58104,240,24863
3949,CT,6786,4820,4820,289673,4140,226847
3950,CT,6787,3970,3970,253938,3370,197650
3951,CT,6790,17270,17270,915677,14670,694317
3952,CT,6791,2820,2820,249640,2280,172887
3953,CT,6793,500,500,93834,330,30707
3954,CT,6794,590,590,60164,420,26603
3955,CT,6795,7150,7150,597377,5980,417396
3956,CT,6796,420,420,45436,280,22705
3957,CT,6798,5090,5090,512811,3910,317076
3958,CT,6801,9610,9610,780529,7990,582919
3959,CT,6804,8820,8820,905212,7270,646589
3960,CT,6807,3490,3490,768889,2660,484872
3961,CT,6810,25020,25020,1264976,20540,1001934
3962,CT,6811,14900,14900,1185858,12330,865450
3963,CT,6812,6740,6740,707276,5560,509285
3964,CT,6820,9390,9390,4804085,7250,2817549
3965,CT,6824,14850,14850,3210673,11670,2065704
3966,CT,6825,9650,9650,1074531,7700,761928
3967,CT,6830,12190,12190,6552622,8760,2681661
3968,CT,6831,7360,7360,4368733,5240,1684038
3969,CT,6840,9050,9050,4420694,6580,2411158
3970,CT,6850,10610,10610,914169,8690,677284
3971,CT,6851,14300,14300,1258490,11620,944716
3972,CT,6853,1740,1740,687329,1230,390441
3973,CT,6854,14320,14320,981268,11870,712706
3974,CT,6855,4230,4230,431688,3380,278092
3975,CT,6856,180,180,8800,150,6855
3976,CT,6870,3270,3270,1594467,2460,851249
3977,CT,6877,11460,11460,2787941,9130,1875742
3978,CT,6878,3600,3600,1873054,2710,979752
3979,CT,6880,12600,12600,5033936,8970,2695965
3980,CT,6883,4490,4490,1432020,3390,826774
3981,CT,6890,2220,2220,856033,1610,398687
3982,CT,6896,4140,4140,816338,3050,496899
3983,CT,6897,8330,8330,2467699,6460,1494733
3984,CT,6901,4720,4720,529293,4240,443154
3985,CT,6902,34130,34130,3482046,28080,2166145
3986,CT,6903,6960,6960,1633100,5410,993145
3987,CT,6905,11060,11060,1211026,8970,855789
3988,CT,6906,5030,5030,375958,4050,302761
3989,CT,6907,5030,5030,461154,4180,355590
3992,DE,19701,20820,20820,1455785,18390,1171795
3993,DE,19702,26340,26340,1584806,23720,1317596
3994,DE,19703,7410,7410,377487,6500,317431
3995,DE,19706,900,900,42066,770,32248
3996,DE,19707,8400,8400,1099687,6710,703542
3997,DE,19709,20500,20500,1649893,17880,1288268
3998,DE,19710,160,160,74690,90,13418
3999,DE,19711,21940,21940,1811444,18460,1273210
4000,DE,19713,15240,15240,801531,13150,608110
4001,DE,19720,28420,28420,1339028,25060,1075357
4002,DE,19730,280,280,19993,210,11338
4003,DE,19731,100,100,5514,80,4270
4004,DE,19732,110,110,33013,70,12963
4005,DE,19733,180,180,10177,140,7127
4006,DE,19734,5790,5790,407786,5030,320165
4007,DE,19736,130,130,20886,100,10003
4008,DE,19801,6320,6320,350304,5840,210911
4009,DE,19802,11200,11200,463274,10000,371103
4010,DE,19803,11040,11040,1300801,8630,816194
4011,DE,19804,9340,9340,427115,7940,336879
4012,DE,19805,17900,17900,749003,16050,612818
4013,DE,19806,4910,4910,589360,4010,342019
4014,DE,19807,4230,4230,1374384,2940,604302
4015,DE,19808,19920,19920,1407883,16450,1021186
4016,DE,19809,7380,7380,482300,6240,371911
4017,DE,19810,12790,12790,1108052,10150,758758
4018,DE,19901,15160,15160,740267,12710,501827
4019,DE,19902,380,380,7411,380,7129
4020,DE,19904,16230,16230,836299,13440,577404
4021,DE,19930,1370,1370,167736,710,50916
4022,DE,19931,140,140,9418,100,5020
4023,DE,19933,4360,4360,218823,3510,129106
4024,DE,19934,6450,6450,430018,5180,288686
4025,DE,19936,190,190,6026,160,4472
4026,DE,19938,4300,4300,248391,3720,198177
4027,DE,19939,3380,3380,226189,2460,123478
4028,DE,19940,2680,2680,130843,2290,98340
4029,DE,19941,1240,1240,48990,1070,36443
4030,DE,19943,5790,5790,297445,4850,210573
4031,DE,19944,260,260,26866,150,7361
4032,DE,19945,3780,3780,194669,2910,114911
4033,DE,19946,2130,2130,100813,1800,73444
4034,DE,19947,8270,8270,367782,6770,254899
4035,DE,19950,3170,3170,156054,2630,106526
4036,DE,19951,870,870,56888,620,30829
4037,DE,19952,4880,4880,226485,4090,159792
4038,DE,19953,2000,2000,100002,1570,69128
4039,DE,19954,760,760,35094,660,26169
4040,DE,19955,170,170,6923,130,4837
4041,DE,19956,7250,7250,324904,6190,235240
4042,DE,19958,13160,13160,1076898,8770,513043
4043,DE,19960,3180,3180,134764,2730,100946
4044,DE,19962,5700,5700,323578,4920,240404
4045,DE,19963,9460,9460,497572,7720,330922
4046,DE,19964,600,600,28490,490,20357
4047,DE,19966,13950,13950,769917,10490,449551
4048,DE,19967,780,780,65263,520,33662
4049,DE,19968,6220,6220,423480,4630,241462
4050,DE,19970,3970,3970,309548,2490,134232
4051,DE,19971,7680,7680,785918,5190,324691
4052,DE,19973,11400,11400,564496,9500,380613
4053,DE,19975,4690,4690,317396,3220,153711
4054,DE,19977,11320,11320,638352,9650,473614
4055,DE,19979,400,400,19153,350,13644
4058,DC,20001,25720,25720,2282240,23790,1920873
4059,DC,20002,34320,34320,2717385,31150,2303254
4060,DC,20003,16710,16710,1913203,15090,1486695
4061,DC,20004,1010,1010,166590,880,121003
4062,DC,20005,7620,7620,820383,6910,652553
4063,DC,20006,570,570,109065,440,40459
4064,DC,20007,12390,12390,2948866,9810,1381849
4065,DC,20008,16660,16660,3270156,13490,1624009
4066,DC,20009,31590,31590,3177013,28660,2474844
4067,DC,20010,18740,18740,1250179,16980,1067550
4068,DC,20011,37170,37170,2249441,31380,1789076
4069,DC,20012,7920,7920,709230,6330,495300
4070,DC,20015,7630,7630,1819902,5550,924794
4071,DC,20016,14020,14020,3702216,10280,1740844
4072,DC,20017,9950,9950,670964,8270,528620
4073,DC,20018,9510,9510,597117,7860,478432
4074,DC,20019,28290,28290,1046337,24660,883235
4075,DC,20020,24200,24200,970481,20830,794367
4076,DC,20024,7700,7700,600658,6690,478546
4077,DC,20032,16350,16350,573334,14620,499600
4078,DC,20036,3520,3520,464633,3040,293078
4079,DC,20037,4960,4960,775596,4020,439505
4082,FL,32003,12970,12970,1143458,10540,777749
4083,FL,32008,2070,2070,90021,1620,62197
4084,FL,32009,1430,1430,82188,1200,63349
4085,FL,32011,6710,6710,373566,5650,284213
4086,FL,32024,7780,7780,378188,6390,274667
4087,FL,32025,7650,7650,318611,6350,225506
4088,FL,32033,2230,2230,123240,1630,76069
4089,FL,32034,16430,16430,1786944,11850,841502
4090,FL,32038,3890,3890,164378,3140,116621
4091,FL,32040,3360,3360,169202,2900,132691
4092,FL,32043,14600,14600,1019886,10970,608078
4093,FL,32044,720,720,28784,590,20774
4094,FL,32046,3910,3910,196378,3290,147680
4095,FL,32052,2450,2450,92260,2030,66366
4096,FL,32053,1450,1450,54361,1230,40401
4097,FL,32054,3940,3940,185008,3330,129212
4098,FL,32055,6330,6330,270937,5280,188492
4099,FL,32058,1440,1440,63064,1200,47466
4100,FL,32059,1040,1040,44980,820,31873
4101,FL,32060,7580,7580,332234,6050,222696
4102,FL,32061,130,130,5645,110,4244
4103,FL,32062,1030,1030,44473,750,28430
4104,FL,32063,5230,5230,264349,4450,201892
4105,FL,32064,3050,3050,123696,2390,69797
4106,FL,32065,16430,16430,924397,14380,729183
4107,FL,32066,1900,1900,83626,1550,55624
4108,FL,32068,23690,23690,1194774,20360,930899
4109,FL,32071,1370,1370,59023,1040,38777
4110,FL,32073,20150,20150,1060898,16650,723588
4111,FL,32079,370,370,20025,90,2286
4112,FL,32080,10730,10730,1065819,7000,471054
4113,FL,32081,7250,7250,898951,5790,624101
4114,FL,32082,14970,14970,3237562,11010,1610883
4115,FL,32083,600,600,24955,510,18824
4116,FL,32084,15420,15420,875460,12620,534765
4117,FL,32086,13870,13870,792157,10440,473068
4118,FL,32087,1630,1630,70055,1420,54823
4119,FL,32091,6160,6160,265056,5160,185683
4120,FL,32092,15950,15950,1377440,13260,993991
4121,FL,32094,1140,1140,51631,900,36325
4122,FL,32095,4990,4990,488653,4100,330494
4123,FL,32096,1120,1120,45509,900,32366
4124,FL,32097,9090,9090,540321,7910,401147
4125,FL,32102,1000,1000,42524,700,23545
4126,FL,32110,3290,3290,125196,2690,87565
4127,FL,32112,2570,2570,88937,2030,57453
4128,FL,32113,2440,2440,93766,1950,67132
4129,FL,32114,12820,12820,362546,11150,271171
4130,FL,32117,11740,11740,379472,9830,282003
4131,FL,32118,8680,8680,567358,5820,254999
4132,FL,32119,10380,10380,444816,8050,277986
4133,FL,32124,2040,2040,128489,1630,89784
4134,FL,32127,14430,14430,937043,10600,496979
4135,FL,32128,9050,9050,784711,6240,392406
4136,FL,32129,10580,10580,446706,8180,305793
4137,FL,32130,2380,2380,108376,1950,76467
4138,FL,32131,1810,1810,94635,1430,62902
4139,FL,32132,3670,3670,158267,2730,100889
4140,FL,32134,2870,2870,111122,2010,65757
4141,FL,32136,4080,4080,295098,2440,144294
4142,FL,32137,20340,20340,1594208,13290,725010
4143,FL,32139,440,440,16014,270,8415
4144,FL,32140,660,660,27676,550,21774
4145,FL,32141,8290,8290,369982,5940,233944
4146,FL,32145,2310,2310,88386,2030,66857
4147,FL,32147,630,630,26532,520,21508
4148,FL,32148,3770,3770,125640,3060,91940
4149,FL,32157,160,160,5270,110,2768
4150,FL,32159,13960,13960,751127,6560,237347
4151,FL,32162,28080,28080,2663303,7780,306942
4152,FL,32164,20620,20620,906025,15150,579067
4153,FL,32168,12720,12720,781927,9070,432756
4154,FL,32169,5210,5210,509514,3140,217744
4155,FL,32174,24810,24810,1662571,17650,922507
4156,FL,32176,7180,7180,632629,4660,271143
4157,FL,32177,9500,9500,377345,8000,271173
4158,FL,32179,3070,3070,116623,2440,82409
4159,FL,32180,1640,1640,64443,1370,49445
4160,FL,32181,930,930,32492,740,21839
4161,FL,32187,840,840,35274,640,22989
4162,FL,32189,2020,2020,74358,1490,46599
4163,FL,32190,500,500,17371,400,12761
4164,FL,32193,460,460,22788,280,9119
4165,FL,32195,1570,1570,75405,1220,47388
4166,FL,32202,1680,1680,150417,1480,107334
4167,FL,32204,3710,3710,240163,3180,153991
4168,FL,32205,13890,13890,785178,12040,565429
4169,FL,32206,7070,7070,205359,6320,172837
4170,FL,32207,16030,16030,1147911,13460,777373
4171,FL,32208,13720,13720,407374,11660,314354
4172,FL,32209,13910,13910,333046,11970,262877
4173,FL,32210,28840,28840,1525702,24800,1069168
4174,FL,32211,14640,14640,527249,12730,413553
4175,FL,32212,780,780,23748,780,23541
4176,FL,32216,19100,19100,879218,16420,687742
4177,FL,32217,9620,9620,699013,7830,397329
4178,FL,32218,28260,28260,1290049,25100,1054512
4179,FL,32219,5680,5670,240275,4930,191027
4180,FL,32220,5640,5640,310041,4820,220793
4181,FL,32221,13200,13200,653213,11350,507750
4182,FL,32222,5510,5510,271021,4860,217418
4183,FL,32223,12500,12500,1036581,10190,696312
4184,FL,32224,18460,18460,1729425,15640,1156499
4185,FL,32225,27840,27840,1826760,23980,1316304
4186,FL,32226,8570,8570,593445,7330,445455
4187,FL,32227,610,610,29091,600,26940
4188,FL,32228,140,140,3907,140,3816
4189,FL,32233,11530,11530,915911,9430,536148
4190,FL,32234,3130,3130,150742,2650,109127
4191,FL,32244,28180,28180,1127193,24690,912120
4192,FL,32246,25300,25300,1255380,22370,1033280
4193,FL,32250,15190,15190,1349428,12580,933492
4194,FL,32254,5650,5650,150694,5010,124894
4195,FL,32256,24130,24130,1735632,20810,1241500
4196,FL,32257,19130,19130,1142165,16060,817454
4197,FL,32258,16120,16120,1107636,14180,902236
4198,FL,32259,21290,21290,2220936,18300,1651268
4199,FL,32266,3850,3850,331858,3190,211109
4200,FL,32277,14600,14600,616593,12690,475251
4201,FL,32301,12760,12760,546900,11220,406470
4202,FL,32303,22900,22900,1067145,19900,774370
4203,FL,32304,12350,12350,261826,11520,221244
4204,FL,32305,8350,8350,274367,7100,209291
4205,FL,32308,11050,11050,858807,8740,515148
4206,FL,32309,14760,14760,1275623,11810,804356
4207,FL,32310,6020,6020,202810,5160,151113
4208,FL,32311,9390,9390,644088,7990,470333
4209,FL,32312,15400,15400,1721009,12310,1041346
4210,FL,32317,7430,7430,592193,6050,397944
4211,FL,32320,1310,1310,56173,1060,32113
4212,FL,32321,1820,1820,79652,1510,55881
4213,FL,32322,1180,1180,66428,820,30291
4214,FL,32324,1720,1720,66848,1290,39087
4215,FL,32327,10690,10690,557417,8890,409579
4216,FL,32328,1390,1390,110664,950,44428
4217,FL,32330,440,440,13491,360,9426
4218,FL,32331,1580,1580,64248,1310,46323
4219,FL,32332,820,820,20664,710,16753
4220,FL,32333,5330,5330,264559,4290,169725
4221,FL,32334,690,690,30632,550,21202
4222,FL,32336,550,550,27690,430,16855
4223,FL,32340,3540,3540,133980,3010,94628
4224,FL,32343,1520,1520,54547,1380,46645
4225,FL,32344,4590,4590,232483,3730,150128
4226,FL,32346,740,740,48280,480,20825
4227,FL,32347,3030,3030,141260,2590,103971
4228,FL,32348,3940,3940,172185,3320,122115
4229,FL,32350,570,570,26074,460,17754
4230,FL,32351,6400,6400,228720,5370,160465
4231,FL,32352,2560,2560,93771,2200,67338
4232,FL,32355,200,200,11266,130,5571
4233,FL,32358,860,860,43357,640,28285
4234,FL,32359,690,690,32410,440,15028
4235,FL,32361,110,110,8072,80,4158
4236,FL,32401,10440,10440,442499,8900,294150
4237,FL,32403,1210,1210,50190,1180,46935
4238,FL,32404,17470,17470,799175,14720,574670
4239,FL,32405,13750,13750,710850,11400,483466
4240,FL,32407,5990,5990,342864,4970,231618
4241,FL,32408,8090,8090,560154,6620,336533
4242,FL,32409,4110,4110,223964,3470,161061
4243,FL,32410,200,200,13214,120,4907
4244,FL,32413,7230,7230,480632,5600,281638
4245,FL,32420,940,940,39379,720,25879
4246,FL,32421,1640,1640,69725,1360,52291
4247,FL,32423,540,540,20069,380,12024
4248,FL,32424,2290,2290,100296,1880,69540
4249,FL,32425,4570,4570,190045,3690,133695
4250,FL,32426,380,380,12394,310,8895
4251,FL,32427,440,440,14359,370,11461
4252,FL,32428,6090,6090,276464,4910,193258
4253,FL,32430,480,480,21828,390,15997
4254,FL,32431,1990,1990,77543,1650,57016
4255,FL,32433,5940,5940,233497,4800,166959
4256,FL,32435,2880,2880,129611,2220,80275
4257,FL,32437,270,270,10650,240,8870
4258,FL,32438,1420,1420,49213,1210,38843
4259,FL,32439,4660,4660,257264,3770,171960
4260,FL,32440,2080,2080,103101,1690,61356
4261,FL,32442,1520,1520,67134,1180,43077
4262,FL,32443,1310,1310,48708,1010,31370
4263,FL,32444,10260,10260,652973,8440,437227
4264,FL,32445,540,540,19250,420,13907
4265,FL,32446,3970,3970,202075,3160,131632
4266,FL,32447,430,430,28541,310,14327
4267,FL,32448,3340,3340,125192,2760,89624
4268,FL,32449,190,190,7258,150,5578
4269,FL,32455,1630,1630,60240,1330,44103
4270,FL,32456,3460,3460,222304,2510,121953
4271,FL,32459,9110,9110,1371851,7040,547451
4272,FL,32460,1670,1670,70266,1250,43370
4273,FL,32461,1070,1070,325190,760,121453
4274,FL,32462,1390,1390,55839,1130,37653
4275,FL,32463,140,140,5460,90,2793
4276,FL,32464,1410,1410,58064,1110,43888
4277,FL,32465,2290,2290,98447,1880,71616
4278,FL,32466,2680,2680,109600,2250,83858
4279,FL,32501,4220,4220,231235,3510,157115
4280,FL,32502,1700,1700,149467,1380,81338
4281,FL,32503,14790,14790,961894,11920,574961
4282,FL,32504,11040,11040,703359,8760,439605
4283,FL,32505,11540,11540,361774,9810,256949
4284,FL,32506,15840,15840,675531,13030,469634
4285,FL,32507,13900,13900,960516,10890,554618
4286,FL,32508,1070,1070,31595,1050,29317
4287,FL,32514,18560,18560,887899,15110,601485
4288,FL,32526,18240,18240,921908,14810,648128
4289,FL,32530,240,240,10802,170,6131
4290,FL,32531,2630,2630,140263,2100,98860
4291,FL,32533,13050,13050,787140,10710,551680
4292,FL,32534,7540,7540,320172,6080,227963
4293,FL,32535,1710,1710,74787,1400,54754
4294,FL,32536,12500,12500,695939,10200,471212
4295,FL,32539,11540,11540,538878,9720,405975
4296,FL,32541,9430,9430,1038552,7250,468281
4297,FL,32542,1360,1360,48606,1360,46664
4298,FL,32544,950,950,28355,950,28016
4299,FL,32547,16620,16620,793047,13840,546005
4300,FL,32548,11140,11140,574721,8990,353707
4301,FL,32550,4170,4170,672340,2800,238994
4302,FL,32561,4370,4370,617974,3280,356749
4303,FL,32563,11740,11740,884201,9310,575200
4304,FL,32564,1250,1250,57694,1020,42605
4305,FL,32565,2330,2330,130103,1870,88160
4306,FL,32566,18310,18310,1139893,15420,810441
4307,FL,32567,1610,1610,78952,1270,55415
4308,FL,32568,1310,1310,67870,1040,46800
4309,FL,32569,6050,6050,311246,5090,220598
4310,FL,32570,13240,13240,650506,10810,461940
4311,FL,32571,15490,15490,969194,12940,700567
4312,FL,32577,2270,2270,134404,1880,89231
4313,FL,32578,15900,15900,1250675,12590,775167
4314,FL,32579,5480,5480,383384,4030,209380
4315,FL,32580,2050,2050,118141,1620,72300
4316,FL,32583,9850,9850,515014,8060,356866
4317,FL,32601,6730,6730,268350,6080,202417
4318,FL,32603,1050,1050,50726,950,35874
4319,FL,32605,11750,11750,894455,9550,542172
4320,FL,32606,11010,11010,826661,8780,559014
4321,FL,32607,12950,12950,700817,11540,515742
4322,FL,32608,20040,20040,1378583,17620,987944
4323,FL,32609,7670,7670,267601,6740,210192
4324,FL,32615,6460,6460,399814,5320,278628
4325,FL,32616,970,970,42884,750,26125
4326,FL,32617,1740,1740,77637,1420,55273
4327,FL,32618,2970,2970,148060,2400,104718
4328,FL,32619,1970,1970,85167,1570,56241
4329,FL,32621,2100,2100,73290,1710,54446
4330,FL,32622,570,570,30915,460,20119
4331,FL,32625,650,650,37006,400,14473
4332,FL,32626,2810,2810,110451,2190,72841
