,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,city,address,lat,long,categories,name
2969,CA,94544,36740.0,36740.0,1998425.0,32580.0,1693247.0,,,,,,
2970,CA,94545,16320.0,16320.0,1074427.0,14200.0,889931.0,,,,,,
2971,CA,94546,22360.0,22360.0,1899621.0,18160.0,1370109.0,,,,,,
2972,CA,94547,12610.0,12610.0,1011641.0,10580.0,779758.0,,,,,,
2973,CA,94548,390.0,390.0,27509.0,300.0,19783.0,,,,,,
2974,CA,94549,13860.0,13860.0,3579453.0,10170.0,1881862.0,,,,,,
2975,CA,94550,23590.0,23590.0,2955728.0,19420.0,2092946.0,Livermore,1532 Lexington Way,37.6528,-121.7755,brewery,Delta Brew Band
2976,CA,94550,23590.0,23590.0,2955728.0,19420.0,2092946.0,Livermore,5542 Brisa St,,,brewery,Working Man Brewing Company
2977,CA,94550,23590.0,23590.0,2955728.0,19420.0,2092946.0,Livermore,2172 McLean Pl,37.6592,-121.7696,brewery,River's End Brewing Co
2978,CA,94551,20110.0,20110.0,1848267.0,17500.0,1477900.0,Livermore,2036 Hawk St,,,brewery,Freeworld Brewing LLC
2979,CA,94551,20110.0,20110.0,1848267.0,17500.0,1477900.0,Livermore,1702 N Vasco Rd,,,brewery,Hop Devine
2980,CA,94551,20110.0,20110.0,1848267.0,17500.0,1477900.0,Livermore,2436 Harewood Dr,37.6921,-121.7707,brewery,Pennyweight Craft Brewing LLC
2981,CA,94551,20110.0,20110.0,1848267.0,17500.0,1477900.0,Livermore,4771 Arroyo Vis B,,,brewery,Shadow Puppet Brewing Co
2982,CA,94551,20110.0,20110.0,1848267.0,17500.0,1477900.0,Livermore,4771 Arroyo Vis Ste B,,,brewery,Shadow Puppet Brewing Company
2983,CA,94552,7200.0,7200.0,971502.0,5820.0,673109.0,,,,,,
2984,CA,94553,24690.0,24690.0,2161407.0,20010.0,1505728.0,Martinez,613 Escobar St,,,brewery,Rocksteady Brewing Co.
2985,CA,94553,24690.0,24690.0,2161407.0,20010.0,1505728.0,Martinez,649 Main St,38.0173,-122.1368,brewery,Brewing Network
2986,CA,94553,24690.0,24690.0,2161407.0,20010.0,1505728.0,Martinez,701 Escobar St A,,,brewery,Del Cielo Brewing Co
2987,CA,94555,15360.0,15360.0,2007127.0,13520.0,1726492.0,,,,,,
2988,CA,94556,7100.0,7100.0,1471849.0,5170.0,877210.0,,,,,,
2989,CA,94558,32020.0,32020.0,2914517.0,25530.0,1754868.0,Napa,1 Executive Way,,,brewery,Napa Smith Brewery
2990,CA,94559,13170.0,13170.0,1004556.0,10910.0,661505.0,,,,,,
2991,CA,94560,22290.0,22290.0,1822853.0,19390.0,1526472.0,,,,,,
2992,CA,94561,18480.0,18480.0,1276132.0,16270.0,1056019.0,,,,,,
2993,CA,94563,9130.0,9130.0,2733495.0,6460.0,1413200.0,,,,,,
2994,CA,94564,10050.0,10050.0,699127.0,7970.0,496941.0,,,,,,
2995,CA,94565,42430.0,42430.0,2187393.0,36960.0,1822794.0,Pittsburg,300 Cumberland St,,,brewery,E.j. Phair Brewing Co.
2996,CA,94566,20840.0,20840.0,3898988.0,17040.0,2772653.0,Pleasanton,3942 Valley Ave O,37.6749,-121.8674,brewery,Iron Oak Brewing Inc
2997,CA,94567,280.0,280.0,21005.0,210.0,12736.0,,,,,,
2998,CA,94568,25970.0,25970.0,3606922.0,23220.0,3024493.0,Dublin,6398 Dougherty Rd #7,,,brewery,Hop Tech
2999,CA,94569,120.0,120.0,7778.0,90.0,4961.0,,,,,,
3000,CA,94571,4880.0,4880.0,334128.0,2900.0,154957.0,,,,,,
3001,CA,94572,4190.0,4190.0,250530.0,3490.0,192006.0,,,,,,
3002,CA,94573,330.0,330.0,68992.0,270.0,19697.0,,,,,,
3003,CA,94574,3970.0,3970.0,779226.0,2890.0,262685.0,,,,,,
3004,CA,94576,110.0,110.0,8330.0,70.0,5515.0,,,,,,
3005,CA,94577,24530.0,24530.0,1679635.0,20470.0,1273875.0,San Leandro,2010 Williams St,37.7118073,-122.1776581,brewery,21st Amendment Brewery
3006,CA,94577,24530.0,24530.0,1679635.0,20470.0,1273875.0,San Leandro,448 Hester St,,,brewery,Cleophus Quealy Beer Company
3007,CA,94578,19300.0,19300.0,1027536.0,16750.0,835408.0,,,,,,
3008,CA,94579,10880.0,10880.0,670524.0,9030.0,528604.0,,,,,,
3009,CA,94580,14660.0,14660.0,866804.0,12550.0,706582.0,,,,,,
3010,CA,94582,17800.0,17800.0,3195052.0,15900.0,2616174.0,,,,,,
3011,CA,94583,21380.0,21380.0,4081659.0,18600.0,3500568.0,,,,,,
3012,CA,94585,14000.0,14000.0,787038.0,12320.0,641059.0,Suisun,221 Benton Ct,,,brewery,Right Eye Brewing
3013,CA,94586,530.0,530.0,97942.0,400.0,47803.0,,,,,,
3014,CA,94587,34490.0,34490.0,2760263.0,29900.0,2277797.0,,,,,,
3015,CA,94588,16150.0,16150.0,2361314.0,13600.0,1736674.0,,,,,,
3016,CA,94589,14460.0,14460.0,680390.0,12370.0,546172.0,,,,,,
3017,CA,94590,17340.0,17340.0,793954.0,14800.0,625733.0,,,,,,
3018,CA,94591,27290.0,27290.0,1867787.0,22810.0,1380360.0,,,,,,
3019,CA,94592,420.0,420.0,36528.0,370.0,29369.0,,,,,,
3020,CA,94595,9970.0,9970.0,1166659.0,4420.0,471806.0,,,,,,
3021,CA,94596,12010.0,12010.0,2574214.0,9540.0,1363745.0,Walnut Creek,1415 Pine St,,,brewery,Farm Creek Brewing
3022,CA,94597,11660.0,11660.0,1278635.0,9440.0,929706.0,,,,,,
3023,CA,94598,13460.0,13460.0,2119382.0,9980.0,1333182.0,Walnut Creek,2700 Mitchell Dr D,,,brewery,Calicraft Brewing Co
3024,CA,94598,13460.0,13460.0,2119382.0,9980.0,1333182.0,Walnut Creek,2700 Mitchell Dr,,,brewery,Calicraft Brewing Co.
3025,CA,94599,1460.0,1460.0,164170.0,940.0,72845.0,,,,,,
3026,CA,94601,22310.0,22310.0,942234.0,19460.0,783726.0,Oakland,3096 E 10th St,,,brewery,Jingletown Jazz Room
3027,CA,94601,22310.0,22310.0,942234.0,19460.0,783726.0,Oakland,2135 High St,,,brewery,Bump City Brewing Co LLC
3028,CA,94602,14710.0,14710.0,1431201.0,11950.0,1031890.0,,,,,,
3029,CA,94603,15140.0,15140.0,613775.0,13440.0,526233.0,,,,,,
3030,CA,94605,20510.0,20510.0,1393108.0,17160.0,1058210.0,,,,,,
3031,CA,94606,18740.0,18740.0,929542.0,16470.0,781871.0,Oakland,1010 22nd Ave,37.782,-122.2404,brewery,Oakland Brewing Co
3032,CA,94607,13100.0,13100.0,834920.0,11480.0,693197.0,Oakland,444 Harrison St,37.79642800000001,-122.271255,brewery,Independent Brewing Co Llc
3033,CA,94607,13100.0,13100.0,834920.0,11480.0,693197.0,Oakland,95 Linden St 8,37.8001,-122.2874,brewery,Linden Street Brewery
3034,CA,94607,13100.0,13100.0,834920.0,11480.0,693197.0,Oakland,95 Linden St Ste 11,,,brewery,Old Kan Beer & Co.
3035,CA,94608,16870.0,16870.0,1288167.0,14610.0,1048481.0,Emeryville,6480 Doyle St,,,brewery,New Belgium Brewing Co
3036,CA,94608,16870.0,16870.0,1288167.0,14610.0,1048481.0,Emeryville,6510 San Pablo Ave,37.8489,-122.2859,brewery,Novel Brewing Co.
3037,CA,94609,11950.0,11950.0,900477.0,10240.0,717372.0,Oakland,742 Alcatraz Ave,37.849489,-122.267001,brewery,Brew Line Crew LLC
3038,CA,94609,11950.0,11950.0,900477.0,10240.0,717372.0,Oakland,4115 Telegraph Ave,,,brewery,Temescal Brewing
3039,CA,94610,18100.0,18100.0,2216391.0,14780.0,1526836.0,Oakland,855 Macarthur Blvd,,,brewery,Macarthur Garage Brewery & Bar
3040,CA,94611,20720.0,20720.0,4435136.0,15830.0,2353988.0,,,,,,
3041,CA,94612,8470.0,8470.0,634296.0,7440.0,501379.0,,,,,,
3042,CA,94618,8770.0,8770.0,1821555.0,6620.0,1052938.0,Oakland,5330 College Ave 240,,,brewery,21st Amendment Brewery
3043,CA,94619,12520.0,12520.0,1123277.0,10150.0,784694.0,,,,,,
3044,CA,94621,13270.0,13270.0,482178.0,11710.0,413692.0,Oakland,8380 Pardee Dr,37.7299,-122.2003,brewery,Hunters Point Brewery
3045,CA,94702,8840.0,8840.0,718300.0,7140.0,542808.0,,,,,,
3046,CA,94703,10350.0,10350.0,870995.0,8510.0,625096.0,,,,,,
3047,CA,94704,6620.0,6620.0,402577.0,5750.0,280005.0,Berkeley,2120 Dwight Way,37.864,-122.2667,brewery,S & S Brew
3048,CA,94704,6620.0,6620.0,402577.0,5750.0,280005.0,Berkeley,2545 Hillegass Ave,,,brewery,Kite Brewing Co
3049,CA,94704,6620.0,6620.0,402577.0,5750.0,280005.0,Berkeley,1920 Shattuck Ave,,,brewery,Triple Rock Brewing Co.
3050,CA,94705,7450.0,7450.0,1491943.0,5460.0,747015.0,,,,,,
3051,CA,94706,9190.0,9190.0,918460.0,7310.0,652882.0,,,,,,
3052,CA,94707,6880.0,6880.0,1329045.0,4630.0,636619.0,,,,,,
3053,CA,94708,5950.0,5950.0,1164940.0,3980.0,580125.0,,,,,,
3054,CA,94709,5280.0,5280.0,491627.0,4270.0,313275.0,,,,,,
3055,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,1160 Sixth St,37.88124561,-122.3021341,brewery,Fieldwork Brewing Company
3056,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,1404 4th St,,,brewery,Trumer Pils Brauerei
3057,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,912 Gilman St,,,brewery,Gilman Brewing Co
3058,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,2030 5th St,,,brewery,Bison Brewing Co
3059,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,930 Dwight Way 10A,37.8603,-122.2929,brewery,Bison Brewing Co
3060,CA,94710,3950.0,3950.0,328168.0,3290.0,220781.0,Berkeley,1160 Sixth Street,,,brewery,Fieldwork Brewing Company
3061,CA,94801,13040.0,13040.0,639427.0,11300.0,483291.0,Richmond,1201 Pennsylvania Ave E,,,brewery,Benoit-Casper Brewing Co Inc
3062,CA,94803,12360.0,12360.0,875735.0,9750.0,609499.0,,,,,,
3063,CA,94804,19690.0,19690.0,1026989.0,16600.0,816762.0,Richmond,845 Marina Bay Pkwy 1,37.9219,-122.3474,brewery,Armistice Brewing Co
3064,CA,94804,19690.0,19690.0,1026989.0,16600.0,816762.0,Richmond,1001 Canal Blvd,37.9174421,-122.3759254,brewery,East Brother Beer Company
3065,CA,94804,19690.0,19690.0,1026989.0,16600.0,816762.0,Richmond,845 Marina Bay Pkwy,,,brewery,Commonweal Brewing Co
3066,CA,94804,19690.0,19690.0,1026989.0,16600.0,816762.0,Richmond,3031 Barrett Ave,37.9374,-122.3395,brewery,Five & Dime Brewing LLC
3067,CA,94805,7200.0,7200.0,463705.0,5720.0,334675.0,Richmond,679 Kern St,37.9412,-122.3211,brewery,Den Sake Brewery
3068,CA,94806,28430.0,28430.0,1388757.0,24460.0,1140411.0,,,,,,
3069,CA,94901,19630.0,19630.0,2579533.0,14660.0,1400772.0,,,,,,
3070,CA,94903,14690.0,14690.0,1851520.0,10580.0,1107013.0,San Rafael,101 Marinwood Ave,,,brewery,Sonoma Springs Brewing Co
3071,CA,94903,14690.0,14690.0,1851520.0,10580.0,1107013.0,San Rafael,6 Merrydale CT,37.9947,-122.5347,brewery,Shady Ridge Brewing Co
3072,CA,94904,6110.0,6110.0,1948613.0,4040.0,831688.0,,,,,,
3073,CA,94920,6140.0,6140.0,2664399.0,3940.0,1089479.0,,,,,,
3074,CA,94922,200.0,200.0,15452.0,140.0,6945.0,,,,,,
3075,CA,94923,730.0,730.0,73841.0,480.0,31719.0,,,,,,
3076,CA,94924,630.0,630.0,48823.0,350.0,19421.0,,,,,,
3077,CA,94925,4670.0,4670.0,938536.0,3420.0,560640.0,,,,,,
3078,CA,94928,20400.0,20400.0,1206585.0,17350.0,916097.0,,,,,,
3079,CA,94929,100.0,100.0,9927.0,60.0,4174.0,,,,,,
3080,CA,94930,4250.0,4250.0,474299.0,3020.0,276804.0,Fairfax,124 Bolinas Rd,37.9852,-122.5903,brewery,Sonoma Springs Brewing Co LLC
3081,CA,94931,4730.0,4730.0,328254.0,3850.0,229072.0,,,,,,
3082,CA,94933,480.0,480.0,39110.0,340.0,22203.0,,,,,,
3083,CA,94937,510.0,510.0,52671.0,290.0,14774.0,,,,,,
3084,CA,94938,330.0,330.0,28067.0,200.0,13902.0,,,,,,
3085,CA,94939,3690.0,3690.0,896769.0,2570.0,432921.0,,,,,,
3086,CA,94941,14950.0,14950.0,4019650.0,10220.0,1959372.0,,,,,,
3087,CA,94945,8620.0,8620.0,991253.0,6410.0,587562.0,,,,,,
3088,CA,94946,290.0,290.0,64964.0,200.0,23830.0,,,,,,
3089,CA,94947,12100.0,12100.0,1276895.0,9210.0,787860.0,,,,,,
3090,CA,94949,8670.0,8670.0,1005036.0,6480.0,628374.0,Novato,14 Commercial Blvd 125,38.0684,-122.5334,brewery,Indian Valley Brewing LLC
3091,CA,94949,8670.0,8670.0,1005036.0,6480.0,628374.0,Novato,401 Bel Marin Keys Blvd Ste B,,,brewery,Baeltane Brewing
3092,CA,94951,2220.0,2220.0,227405.0,1620.0,127623.0,,,,,,
3093,CA,94952,16010.0,16010.0,1530415.0,12320.0,919386.0,,,,,,
3094,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,1304 Scott St,,,brewery,101 North Brewing Company
3095,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,1333 N Mcdowell Blvd,38.27209893,-122.663877,brewery,Petaluma Hills Brewing Company
3096,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,1333 N McDowell Blvd Ste A,,,brewery,Petaluma Hills Brewing Company
3097,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,1322 Ross St B,,,brewery,Lagunitas Brewing Co
3098,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,320 N Mcdowell Blvd,38.2529,-122.63,brewery,Sonoma Springs Brewing Co
3099,CA,94954,18460.0,18460.0,1470752.0,14880.0,1049876.0,Petaluma,1304 Scott St Ste D,,,brewery,101 North Brewing Company
3100,CA,94956,820.0,820.0,69721.0,510.0,25639.0,,,,,,
3101,CA,94957,1090.0,1090.0,803545.0,680.0,233144.0,,,,,,
3102,CA,94960,7270.0,7270.0,1387459.0,5300.0,755045.0,,,,,,
3103,CA,94963,310.0,310.0,38261.0,190.0,17501.0,,,,,,
3104,CA,94964,190.0,190.0,19700.0,180.0,15395.0,,,,,,
3105,CA,94965,6080.0,6080.0,1070046.0,4330.0,550599.0,,,,,,
3106,CA,94970,350.0,350.0,43233.0,210.0,14266.0,,,,,,
3107,CA,94971,220.0,220.0,13003.0,140.0,6517.0,,,,,,
3108,CA,94972,180.0,180.0,12468.0,150.0,5830.0,,,,,,
3109,CA,94973,770.0,770.0,82630.0,530.0,38595.0,,,,,,
3110,CA,95002,1100.0,1100.0,85260.0,980.0,71884.0,,,,,,
3111,CA,95003,11590.0,11590.0,1333390.0,8510.0,760017.0,,,,,,
3112,CA,95004,1940.0,1940.0,154198.0,1560.0,103242.0,,,,,,
3113,CA,95005,3050.0,3050.0,257911.0,2380.0,180060.0,,,,,,
3114,CA,95006,4410.0,4410.0,379874.0,3510.0,281332.0,,,,,,
3115,CA,95007,360.0,360.0,24157.0,300.0,18691.0,,,,,,
3116,CA,95008,23440.0,23440.0,2870426.0,19940.0,2287648.0,Campbell,200 E Campbell Ave,37.28679,-121.94644,brewery,Campbell Brewing Company
3117,CA,95008,23440.0,23440.0,2870426.0,19940.0,2287648.0,Campbell,910 Campisi Way,37.28892988,-121.934245,brewery,Rockbottom
3118,CA,95008,23440.0,23440.0,2870426.0,19940.0,2287648.0,Campbell,200 East Campbell Avenue,37.28679,-121.94644,brewery,Campbell Brewing Company
3119,CA,95010,5360.0,5360.0,453067.0,4070.0,281642.0,Capitola,100 Kennedy Dr,36.982962,-121.943144,brewery,Sante Adairius Rustic Ales
3120,CA,95010,5360.0,5360.0,453067.0,4070.0,281642.0,Capitola,103 Kennedy Dr,36.98342486,-121.9494913,brewery,Sante Adairius Rustic Ales
3121,CA,95012,5180.0,5180.0,208536.0,4740.0,171452.0,,,,,,
3122,CA,95014,26100.0,26100.0,5599888.0,21260.0,4156858.0,Cupertino,17589 Montebello Rd,,,brewery,Black Mountain Brewery LLC (Reported Closed)
3123,CA,95014,26100.0,26100.0,5599888.0,21260.0,4156858.0,Cupertino,7 Infinite Loop,,,brewery,Infinite Loop 7
3124,CA,95017,420.0,420.0,28528.0,330.0,17815.0,,,,,,
3125,CA,95018,3910.0,3910.0,334874.0,3040.0,225362.0,Felton,1720 Upper Scenic Dr,37.0292,-122.0725,brewery,Fruition Brewing Co Inc
3126,CA,95019,3870.0,3870.0,160112.0,3460.0,127839.0,,,,,,
3127,CA,95020,27910.0,27910.0,2348669.0,24150.0,1740383.0,,,,,,
3128,CA,95023,23360.0,23360.0,1618018.0,20660.0,1214717.0,Hollister,401 Mccray St,,,brewery,Grillin & Chillin Alehouse
3129,CA,95023,23360.0,23360.0,1618018.0,20660.0,1214717.0,Hollister,401 McCray St Ste. B24,,,brewery,Grillin & Chillin Alehouse
3130,CA,95030,6590.0,6590.0,3119183.0,4670.0,1731643.0,,,,,,
3131,CA,95032,13150.0,13150.0,3809479.0,10120.0,2105972.0,,,,,,
3132,CA,95033,4150.0,4150.0,795917.0,3230.0,546929.0,,,,,,
3133,CA,95035,35240.0,35240.0,3535408.0,31730.0,3013494.0,,,,,,
3134,CA,95037,22960.0,22960.0,2797209.0,19330.0,2024172.0,,,,,,
3135,CA,95039,770.0,770.0,43244.0,650.0,31267.0,,,,,,
3136,CA,95041,330.0,330.0,22534.0,280.0,16425.0,,,,,,
3137,CA,95043,260.0,260.0,19477.0,210.0,11522.0,,,,,,
3138,CA,95045,1920.0,1920.0,167761.0,1590.0,104051.0,,,,,,
3139,CA,95046,3420.0,3420.0,383106.0,2770.0,233594.0,,,,,,
3140,CA,95050,18200.0,18200.0,1828126.0,15670.0,1469079.0,Santa Clara,1252 Memorex Dr,37.36241500000001,-121.954562,brewery,Golden State Brewery
3141,CA,95051,28730.0,28730.0,3438253.0,24950.0,3478372.0,,,,,,
3142,CA,95054,11440.0,11440.0,1760231.0,10560.0,1563766.0,,,,,,
3143,CA,95060,20460.0,20460.0,2059886.0,15990.0,1290623.0,Santacruz,303 Potrero St,36.981207,-122.031284,brewery,Uncommon Brewers
3144,CA,95060,20460.0,20460.0,2059886.0,15990.0,1290623.0,Santa Cruz,233 Cathcart St,,,brewery,Lupulo Craft Beer House
3145,CA,95060,20460.0,20460.0,2059886.0,15990.0,1290623.0,Santa Cruz,402 Ingalls St 27,36.9587,-122.049,brewery,Santa Cruz Mountain Brewing
3146,CA,95062,17700.0,17700.0,1379401.0,14030.0,891359.0,Santa Cruz,1030 41st Ave,,,brewery,New Bohemia Brewing Co.
3147,CA,95064,590.0,590.0,36244.0,560.0,30345.0,,,,,,
3148,CA,95065,4060.0,4060.0,423158.0,3010.0,257159.0,,,,,,
3149,CA,95066,7160.0,7160.0,880979.0,5610.0,626143.0,Scotts Valley,2364 Bean Creek Rd,37.072837,-122.016426,brewery,Brew Dream
3150,CA,95070,15870.0,15870.0,5558211.0,11650.0,3229241.0,,,,,,
3151,CA,95073,5690.0,5690.0,552974.0,4270.0,334676.0,Soquel,2703 41st Ave A,36.9854,-121.9649,brewery,Discretion Brewing LLC
3152,CA,95075,350.0,350.0,32077.0,270.0,20411.0,,,,,,
3153,CA,95076,36830.0,36830.0,1986283.0,32550.0,1411397.0,Watsonville,2536 Freedom Blvd,,,brewery,Corralitos Brewing Company
3154,CA,95110,9230.0,9230.0,756457.0,8400.0,632253.0,,,,,,
3155,CA,95111,28460.0,28460.0,1441013.0,25640.0,1248843.0,,,,,,
3156,CA,95112,24860.0,24860.0,1633350.0,22420.0,1398980.0,San Jose,1721 Rogers Ave,37.3746,-121.909,brewery,Lincoln Court Brewery
3157,CA,95112,24860.0,24860.0,1633350.0,22420.0,1398980.0,Sanjose,2099 S 10th St,37.31064,-121.857756,brewery,Strike Brewing Co
3158,CA,95112,24860.0,24860.0,1633350.0,22420.0,1398980.0,San Jose,1627 S 7th St,,,brewery,Hermitage Brewing Company
3159,CA,95112,24860.0,24860.0,1633350.0,22420.0,1398980.0,San Jose,2099 S 10th St #30,,,brewery,Strike Brewing Co.
3160,CA,95113,1520.0,1520.0,202956.0,1330.0,144206.0,,,,,,
3161,CA,95116,22810.0,22810.0,1045534.0,20850.0,928419.0,,,,,,
3162,CA,95117,13860.0,13860.0,1168440.0,12190.0,977242.0,,,,,,
3163,CA,95118,15350.0,15350.0,1601458.0,12970.0,1295552.0,,,,,,
3164,CA,95119,4850.0,4850.0,474236.0,4170.0,382357.0,,,,,,
3165,CA,95120,17610.0,17610.0,3510362.0,13830.0,2506516.0,,,,,,
3166,CA,95121,18410.0,18410.0,1257990.0,16200.0,1048343.0,,,,,,
3167,CA,95122,26210.0,26210.0,1132539.0,23760.0,1008903.0,,,,,,
3168,CA,95123,32660.0,32660.0,2869384.0,28330.0,2367075.0,,,,,,
3169,CA,95124,22650.0,22650.0,3122763.0,18860.0,2451332.0,San Jose,Kirk Dr,,,brewery,Drunken Marmot Brewing Co
3170,CA,95125,25480.0,25480.0,3916748.0,20670.0,2839078.0,San Jose,1805 Little Orchard St,37.306452,-121.873117,brewery,Clandestine Brewing
3171,CA,95126,17480.0,17480.0,1886016.0,15560.0,1504053.0,San Jose,460 Lincoln Ave #90,37.32053,-121.90806200000002,brewery,Hapa's Brewing Company
3172,CA,95126,17480.0,17480.0,1886016.0,15560.0,1504053.0,San Jose,460 Lincoln Ave 90,37.32,-121.9083,brewery,Hapa's Brewing Co LLC
3173,CA,95126,17480.0,17480.0,1886016.0,15560.0,1504053.0,San Jose,777 The Alameda,,,brewery,Floodcraft Brewing
3174,CA,95127,29850.0,29850.0,1861422.0,26270.0,1509783.0,San Jose,Via Vicenza 43,,,brewery,Topbeer
3175,CA,95128,16880.0,16880.0,1591555.0,14550.0,1283796.0,,,,,,
3176,CA,95129,18030.0,18030.0,2792156.0,15140.0,2200040.0,,,,,,
3177,CA,95130,6280.0,6280.0,746835.0,5300.0,622709.0,,,,,,
3178,CA,95131,15080.0,15080.0,1496258.0,13570.0,1295419.0,,,,,,
3179,CA,95132,20080.0,20080.0,1779145.0,17490.0,1461960.0,,,,,,
3180,CA,95133,13450.0,13450.0,988845.0,11940.0,838590.0,,,,,,
3181,CA,95134,13530.0,13530.0,1741972.0,13010.0,1634866.0,,,,,,
3182,CA,95135,9550.0,9550.0,1532015.0,7090.0,1101139.0,,,,,,
3183,CA,95136,21490.0,21490.0,1900297.0,18780.0,1573747.0,,,,,,
3184,CA,95138,8810.0,8810.0,1652383.0,7790.0,1228344.0,,,,,,
3185,CA,95139,3270.0,3270.0,326158.0,2790.0,266184.0,,,,,,
3186,CA,95140,170.0,170.0,25930.0,140.0,17261.0,,,,,,
3187,CA,95148,22450.0,22450.0,1958334.0,19780.0,1556824.0,,,,,,
3188,CA,95202,1830.0,1830.0,50834.0,1630.0,39987.0,,,,,,
3189,CA,95203,5970.0,5970.0,230842.0,5270.0,183369.0,,,,,,
3190,CA,95204,12530.0,12530.0,658528.0,10290.0,443245.0,Stockton,157 W Adams St,37.97271601,-121.300434,brewery,Valley Brewing Company
3191,CA,95205,14730.0,14730.0,464680.0,13390.0,398175.0,,,,,,
3192,CA,95206,26600.0,26600.0,1008394.0,24380.0,869092.0,,,,,,
3193,CA,95207,20110.0,20110.0,981005.0,16810.0,658107.0,,,,,,
3194,CA,95209,18130.0,18130.0,1057800.0,15230.0,791565.0,,,,,,
3195,CA,95210,15150.0,15150.0,532733.0,13380.0,438704.0,,,,,,
3196,CA,95212,11570.0,11570.0,738147.0,9960.0,511173.0,,,,,,
3197,CA,95215,8630.0,8630.0,394070.0,7460.0,281077.0,,,,,,
3198,CA,95219,12490.0,12490.0,1209240.0,10330.0,764155.0,,,,,,
3199,CA,95220,2970.0,2970.0,224001.0,2340.0,133476.0,,,,,,
3200,CA,95222,1830.0,1830.0,127962.0,1250.0,59057.0,,,,,,
3201,CA,95223,1730.0,1730.0,117580.0,1080.0,52865.0,Arnold,2050 Hwy 4,,,brewery,Snowshoe Brewing Company
3202,CA,95224,230.0,230.0,15848.0,150.0,9102.0,,,,,,
3203,CA,95225,350.0,350.0,19380.0,240.0,11475.0,,,,,,
3204,CA,95227,460.0,460.0,45608.0,320.0,24134.0,,,,,,
3205,CA,95228,1840.0,1840.0,138587.0,1310.0,79493.0,,,,,,
3206,CA,95230,300.0,300.0,21696.0,230.0,10849.0,,,,,,
3207,CA,95231,1590.0,1590.0,72401.0,1370.0,54720.0,,,,,,
3208,CA,95232,120.0,120.0,5813.0,80.0,3261.0,,,,,,
3209,CA,95233,190.0,190.0,10751.0,140.0,5687.0,,,,,,
3210,CA,95234,120.0,120.0,4102.0,110.0,3399.0,,,,,,
3211,CA,95236,2560.0,2560.0,220188.0,2140.0,132645.0,,,,,,
3212,CA,95237,1720.0,1720.0,102398.0,1400.0,68373.0,,,,,,
3213,CA,95240,18250.0,18250.0,959431.0,15360.0,661965.0,Lodi,105 S School St,38.13284567,-121.273855,brewery,Lodi Beer Company
3214,CA,95240,18250.0,18250.0,959431.0,15360.0,661965.0,Lodi,9 W Locust St,38.1367,-121.272,brewery,Five Window Beer
3215,CA,95242,11970.0,11970.0,920929.0,9310.0,600218.0,,,,,,
3216,CA,95245,730.0,730.0,42832.0,510.0,24479.0,,,,,,
3217,CA,95246,640.0,640.0,38815.0,360.0,17627.0,,,,,,
3218,CA,95247,2080.0,2080.0,149674.0,1340.0,69413.0,,,,,,
3219,CA,95248,190.0,190.0,6770.0,110.0,3351.0,,,,,,
3220,CA,95249,1620.0,1620.0,84966.0,1210.0,48684.0,,,,,,
3221,CA,95251,320.0,320.0,19357.0,260.0,11768.0,,,,,,
3222,CA,95252,5890.0,5890.0,376529.0,4530.0,261077.0,,,,,,
3223,CA,95254,300.0,300.0,24140.0,210.0,14650.0,,,,,,
3224,CA,95255,670.0,670.0,30906.0,420.0,14896.0,,,,,,
3225,CA,95257,170.0,170.0,7525.0,110.0,4685.0,,,,,,
3226,CA,95258,2540.0,2540.0,221288.0,2080.0,125662.0,,,,,,
3227,CA,95301,15040.0,15040.0,790032.0,12780.0,569526.0,,,,,,
3228,CA,95303,370.0,370.0,33561.0,320.0,14747.0,,,,,,
3229,CA,95304,5530.0,5530.0,483988.0,4600.0,344712.0,,,,,,
3230,CA,95305,150.0,150.0,6818.0,100.0,3844.0,,,,,,
3231,CA,95306,380.0,380.0,27689.0,280.0,17999.0,,,,,,
3232,CA,95307,18120.0,18120.0,783398.0,16010.0,629616.0,,,,,,
3233,CA,95310,1110.0,1110.0,59281.0,710.0,32409.0,,,,,,
3234,CA,95311,760.0,760.0,36454.0,500.0,20593.0,,,,,,
3235,CA,95312,170.0,170.0,7641.0,150.0,5273.0,,,,,,
3236,CA,95313,590.0,590.0,34523.0,500.0,18910.0,,,,,,
3237,CA,95315,4930.0,4930.0,190547.0,4500.0,161178.0,,,,,,
3238,CA,95316,3050.0,3050.0,216001.0,2570.0,144403.0,,,,,,
