,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,city,address,lat,long,categories,name
16973,NE,69146,130.0,130.0,5763.0,80.0,2422.0,,,,,,
16974,NE,69147,260.0,260.0,9713.0,170.0,5404.0,,,,,,
16975,NE,69149,320.0,320.0,15351.0,260.0,11133.0,,,,,,
16976,NE,69150,210.0,210.0,12666.0,140.0,5356.0,,,,,,
16977,NE,69151,350.0,350.0,17363.0,310.0,14382.0,,,,,,
16978,NE,69152,420.0,420.0,19225.0,320.0,9762.0,,,,,,
16979,NE,69153,2750.0,2750.0,145079.0,2300.0,96536.0,,,,,,
16980,NE,69154,530.0,530.0,21501.0,390.0,13413.0,,,,,,
16981,NE,69155,450.0,450.0,24666.0,360.0,15665.0,,,,,,
16982,NE,69156,310.0,310.0,17709.0,250.0,13290.0,,,,,,
16983,NE,69162,3450.0,3450.0,225629.0,2970.0,173455.0,,,,,,
16984,NE,69163,370.0,370.0,18919.0,280.0,11832.0,,,,,,
16985,NE,69165,780.0,780.0,45477.0,660.0,34754.0,,,,,,
16986,NE,69166,250.0,250.0,12998.0,180.0,6663.0,,,,,,
16987,NE,69167,160.0,160.0,6762.0,110.0,4183.0,,,,,,
16988,NE,69168,110.0,110.0,4053.0,70.0,1954.0,,,,,,
16989,NE,69169,250.0,250.0,13627.0,200.0,8619.0,,,,,,
16990,NE,69170,170.0,170.0,7027.0,140.0,5175.0,,,,,,
16991,NE,69201,1880.0,1880.0,99556.0,1560.0,60288.0,,,,,,
16992,NE,69210,1060.0,1060.0,51440.0,850.0,34029.0,,,,,,
16993,NE,69211,160.0,160.0,9236.0,130.0,4687.0,,,,,,
16994,NE,69217,230.0,230.0,9956.0,170.0,5879.0,,,,,,
16995,NE,69218,90.0,90.0,3820.0,70.0,1689.0,,,,,,
16996,NE,69301,4480.0,4480.0,249391.0,3720.0,177063.0,,,,,,
16997,NE,69333,120.0,120.0,5392.0,80.0,2466.0,,,,,,
16998,NE,69334,910.0,910.0,41707.0,750.0,30336.0,,,,,,
16999,NE,69336,1060.0,1060.0,55759.0,870.0,35559.0,,,,,,
17000,NE,69337,2630.0,2630.0,127703.0,2200.0,92333.0,,,,,,
17001,NE,69339,670.0,670.0,27558.0,510.0,18138.0,,,,,,
17002,NE,69341,4840.0,4840.0,251307.0,4250.0,192233.0,,,,,,
17003,NE,69343,1030.0,1030.0,46791.0,840.0,30730.0,,,,,,
17004,NE,69345,180.0,180.0,7952.0,170.0,6296.0,,,,,,
17005,NE,69346,220.0,220.0,10162.0,160.0,6023.0,,,,,,
17006,NE,69347,520.0,520.0,23589.0,380.0,14862.0,,,,,,
17007,NE,69348,610.0,610.0,31315.0,470.0,20562.0,,,,,,
17008,NE,69350,200.0,200.0,9972.0,150.0,5544.0,,,,,,
17009,NE,69352,230.0,230.0,9068.0,170.0,6634.0,,,,,,
17010,NE,69356,750.0,750.0,33136.0,650.0,26227.0,,,,,,
17011,NE,69357,1590.0,1590.0,76157.0,1370.0,57920.0,,,,,,
17012,NE,69358,760.0,760.0,37233.0,650.0,27651.0,,,,,,
17013,NE,69360,530.0,530.0,20765.0,430.0,13440.0,,,,,,
17014,NE,69361,7560.0,7560.0,403054.0,6500.0,290569.0,,,,,,
17015,NE,69366,100.0,100.0,5211.0,80.0,2202.0,,,,,,
17016,NE,69367,100.0,100.0,4030.0,70.0,2327.0,,,,,,
17017,NV,89001,390.0,390.0,20761.0,340.0,15623.0,,,,,,
17018,NV,89002,16090.0,16090.0,1151362.0,13770.0,854552.0,,,,,,
17019,NV,89003,380.0,380.0,16006.0,300.0,11299.0,,,,,,
17020,NV,89004,180.0,180.0,15549.0,120.0,11009.0,,,,,,
17021,NV,89005,7060.0,7060.0,572201.0,5040.0,285586.0,Boulder City,453 Nevada Hwy (at Arizona St),35.97817983,-114.8369551,brewery,Boulder Dam Brewing Co
17022,NV,89007,420.0,420.0,22518.0,370.0,16359.0,,,,,,
17023,NV,89008,450.0,450.0,22373.0,340.0,14353.0,,,,,,
17024,NV,89010,170.0,170.0,8700.0,130.0,4782.0,,,,,,
17025,NV,89011,12850.0,12850.0,1019021.0,11010.0,616613.0,Henderson,7380 Eastgate Rd,,,brewery,Bad Beat Brewing
17026,NV,89011,12850.0,12850.0,1019021.0,11010.0,616613.0,Henderson,7350 Eastgate Rd,36.054703,-115.01699,brewery,Crafthaus Brewery
17027,NV,89011,12850.0,12850.0,1019021.0,11010.0,616613.0,Henderson,7350 Eastgate Rd Ste 110,,,brewery,CraftHaus Brewery
17028,NV,89011,12850.0,12850.0,1019021.0,11010.0,616613.0,Henderson,7380 Eastgate Rd Ste 110,,,brewery,Bad Beat Brewing
17029,NV,89012,16030.0,16030.0,1802765.0,12300.0,901190.0,Henderson,251 S Green Valley Pkwy 1212,36.0194,-115.0845,brewery,Pure Brew Analytics
17030,NV,89013,150.0,150.0,5828.0,100.0,3571.0,,,,,,
17031,NV,89014,19270.0,19270.0,1098072.0,16600.0,773486.0,Henderson,155 N Gibson Rd,,,brewery,Joseph James Brewery
