,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
29533,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,jack's run brewing co,108 north 21st street,Purcellville,VA
29534,VA,20132,7090.0,7090.0,922315.0,6260.0,685302.0,old 690 brewing co,15670 ashbury church rd,Purcellville,VA
29535,VA,20135,1350.0,1350.0,133542.0,1070.0,86788.0,bear chase brewing company,18294 blue ridge mountain rd,Bluemont,VA
29536,VA,20135,1350.0,1350.0,133542.0,1070.0,86788.0,dirt farm brewing,18701 foggy bottom rd,Bluemont,VA
29537,VA,20136,13080.0,13080.0,1311204.0,12030.0,1104149.0,,,,
29538,VA,20137,950.0,950.0,105894.0,770.0,65478.0,the farm brewery at broad run,16015 john marshall hwy,Broad Run,VA
29539,VA,20139,120.0,120.0,10581.0,80.0,6027.0,,,,
29540,VA,20141,3040.0,3040.0,375781.0,2660.0,289614.0,b chord brewing company,34266 williams gap rd,Round Hill,VA
29541,VA,20143,580.0,580.0,72070.0,450.0,46884.0,,,,
29542,VA,20144,460.0,460.0,69151.0,330.0,36238.0,barrel oak farm taphouse,3623 grove ln,Delaplane,VA
29543,VA,20147,29580.0,29580.0,3382916.0,25740.0,2646517.0,dynasty brewing company,21140 ashburn crossing ste 130-5,Ashburn,VA
29544,VA,20147,29580.0,29580.0,3382916.0,25740.0,2646517.0,house 6 brewing,44427 atwater dr. suite 160,Ashburn,VA
29545,VA,20147,29580.0,29580.0,3382916.0,25740.0,2646517.0,lost rhino brewing co,21730 red rum dr ste 142,Ashburn,VA
29546,VA,20147,29580.0,29580.0,3382916.0,25740.0,2646517.0,old ox brewery llc,44652 guilford dr ste 114,Ashburn,VA
29547,VA,20147,29580.0,29580.0,3382916.0,25740.0,2646517.0,the craft of brewing,"21140 ashburn crossing drive, suite 170",Ashburn,VA
29548,VA,20148,21050.0,21050.0,3167619.0,19820.0,2701882.0,lost rhino retreat,22885 brambleton plaza,Ashburn,VA
29549,VA,20151,10380.0,10380.0,1068418.0,9120.0,760918.0,mustang sally brewing co,14140 parke long ct # a-c,Chantilly,VA
29550,VA,20151,10380.0,10380.0,1068418.0,9120.0,760918.0,ono brewing company,4520 daly dr ste 102,Chantilly,VA
29551,VA,20152,14200.0,14200.0,1821440.0,13120.0,1494934.0,,,,
29552,VA,20155,16060.0,16060.0,1715119.0,13450.0,1262146.0,tin cannon brewing company,7679 limestone dr ste 130,Gainesville,VA
29553,VA,20158,1960.0,1960.0,267543.0,1650.0,194895.0,,,,
29554,VA,20164,20360.0,20360.0,1210799.0,17760.0,1001543.0,beltway brewing company,22620 davis dr ste 110,Sterling,VA
29555,VA,20164,20360.0,20360.0,1210799.0,17760.0,1001543.0,rocket frog brewing company,22560 glenn dr unit 103,Sterling,VA
29556,VA,20165,15910.0,15910.0,1867126.0,14000.0,1458660.0,,,,
29557,VA,20166,6070.0,6070.0,480480.0,5600.0,428726.0,ocelot brewing co,23600 overland dr ste 180,Dulles,VA
29558,VA,20166,6070.0,6070.0,480480.0,5600.0,428726.0,solace brewing company,42615 trade west dr ste 100,Dulles,VA
29559,VA,20166,6070.0,6070.0,480480.0,5600.0,428726.0,twinpanzee brewing company,101 executive dr ste d,Sterling,VA
29560,VA,20169,11310.0,11310.0,1496289.0,9600.0,1093252.0,,,,
29561,VA,20170,20680.0,20680.0,1824772.0,18140.0,1465515.0,aslin beer company,257 sunset park dr.,Herndon,VA
29562,VA,20171,23300.0,23300.0,2947142.0,21160.0,2354218.0,,,,
29563,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,bike trale brewing,101 loudoun st se,Leesburg,VA
29564,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,bird brain brewing company,435 nikki ter se,Leesburg,VA
29565,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,black hoof brewing,11 s king st,Leesburg,VA
29566,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,black walnut brewery,210 s king st,Leesburg,VA
29567,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,crooked run brewing,205 harrison st se,Leesburg,VA
29568,VA,20175,14250.0,14250.0,1888890.0,12740.0,1441689.0,mud hound brewing co / macdowell brew kitchen,202b harrison st se,Leesburg,VA
29569,VA,20176,22360.0,22360.0,2790231.0,19430.0,2056857.0,barnhouse brewery,43271 spinks ferry rd,Leesburg,VA
29570,VA,20176,22360.0,22360.0,2790231.0,19430.0,2056857.0,dog money restaurant,50 catoctin cir ne ste 100,Leesburg,VA
29571,VA,20176,22360.0,22360.0,2790231.0,19430.0,2056857.0,loudoun brewing co,310 e market st,Leesburg,VA
29572,VA,20176,22360.0,22360.0,2790231.0,19430.0,2056857.0,phase 2 brewing,19382 diamond lake drive,Lansdowne,VA
29573,VA,20176,22360.0,22360.0,2790231.0,19430.0,2056857.0,vanish farmwoods brewery,42245  black hops ln,Leesburg,VA
29574,VA,20180,3520.0,3520.0,397495.0,2990.0,291718.0,,,,
29575,VA,20181,4220.0,4220.0,447503.0,3550.0,307583.0,,,,
29576,VA,20184,210.0,210.0,45158.0,160.0,16920.0,,,,
29577,VA,20186,6980.0,6980.0,650127.0,5790.0,406535.0,wort hog brewing company llc,50a s 3rd st,Warrenton,VA
29578,VA,20187,8120.0,8120.0,892174.0,6800.0,634835.0,old bust head brewing co.,7134 lineweaver rd,Warrenton,VA
29579,VA,20190,10050.0,10050.0,1231270.0,8470.0,892281.0,lake anne brew house,11424 washington plz w,Reston,VA
29580,VA,20191,14690.0,14690.0,1625748.0,12510.0,1102822.0,,,,
29581,VA,20194,6750.0,6750.0,1047572.0,5860.0,744733.0,,,,
29582,VA,20197,1000.0,1000.0,195391.0,840.0,124840.0,,,,
29583,VA,20198,960.0,960.0,144782.0,750.0,61566.0,,,,
29584,VA,22003,27310.0,27310.0,2304300.0,21970.0,1595319.0,,,,
29585,VA,22015,20680.0,20680.0,2028207.0,17730.0,1476060.0,,,,
29586,VA,22025,8690.0,8690.0,772599.0,7380.0,553102.0,,,,
29587,VA,22026,8280.0,8280.0,514335.0,7510.0,440993.0,,,,
29588,VA,22027,1030.0,1030.0,199312.0,850.0,128488.0,,,,
29589,VA,22030,25460.0,25460.0,2669604.0,21730.0,1902414.0,chubby squirrel brewing company,10382 willard way,Fairfax,VA
29590,VA,22031,16540.0,16540.0,1600529.0,14240.0,1196988.0,,,,
29591,VA,22032,14020.0,14020.0,1496502.0,11630.0,1047742.0,,,,
29592,VA,22033,18960.0,18960.0,2016833.0,16790.0,1540091.0,,,,
29593,VA,22039,8810.0,8810.0,1712294.0,7240.0,975906.0,,,,
29594,VA,22041,13110.0,13110.0,899352.0,10100.0,604086.0,,,,
29595,VA,22042,17020.0,17020.0,1388108.0,14260.0,1030272.0,,,,
29596,VA,22043,12000.0,12000.0,1367861.0,10240.0,1015441.0,,,,
29597,VA,22044,6290.0,6290.0,550322.0,5130.0,368625.0,,,,
29598,VA,22046,8480.0,8480.0,1215794.0,7090.0,824524.0,audacious aleworks,110 e fairfax st,Falls Church,VA
29599,VA,22046,8480.0,8480.0,1215794.0,7090.0,824524.0,mad fox brewing co,444 w broad st ste i,Falls Church,VA
29600,VA,22060,3410.0,3410.0,242947.0,3000.0,186854.0,,,,
29601,VA,22066,8210.0,8210.0,2678931.0,6380.0,1337003.0,,,,
29602,VA,22079,15910.0,15910.0,1450279.0,14140.0,1104588.0,fair winds brewing company,7000 newington rd ste k& # l,Lorton,VA
29603,VA,22079,15910.0,15910.0,1450279.0,14140.0,1104588.0,forge brew works,8532 terminal rd ste m,Lorton,VA
29604,VA,22101,13670.0,13670.0,4991623.0,10020.0,2110694.0,,,,
29605,VA,22102,13000.0,13000.0,3715033.0,10690.0,1798536.0,gordon biersch brewery restaurant - tysons corner,7861 tysons corner center,Mc Lean,VA
29606,VA,22124,8570.0,8570.0,1794367.0,6970.0,1103585.0,,,,
29607,VA,22125,570.0,570.0,64428.0,480.0,45430.0,,,,
29608,VA,22134,2230.0,2230.0,96646.0,2190.0,92810.0,,,,
29609,VA,22150,14460.0,14460.0,977999.0,10980.0,644020.0,,,,
29610,VA,22151,8640.0,8640.0,692981.0,7010.0,503576.0,,,,
29611,VA,22152,14090.0,14090.0,1341132.0,11900.0,982949.0,,,,
29612,VA,22153,15090.0,15090.0,1544520.0,13000.0,1131915.0,,,,
29613,VA,22172,4610.0,4610.0,281369.0,4160.0,237221.0,,,,
29614,VA,22180,12440.0,12440.0,1730848.0,10460.0,1238411.0,caboose brewing co.,520 mill st ne,Vienna,VA
29615,VA,22181,6850.0,6850.0,1186934.0,5690.0,752791.0,,,,
29616,VA,22182,12160.0,12160.0,2596156.0,9940.0,1515903.0,,,,
29617,VA,22191,34020.0,34020.0,2006943.0,30460.0,1700278.0,brew republic bierwerks,15201 potomac town place #120 stonebridge @ potomac town center,Woodbridge,VA
29618,VA,22192,27750.0,27750.0,2241767.0,24380.0,1696405.0,water's end brewery,12425 dillingham sq,Lake Ridge,VA
29619,VA,22193,38230.0,38230.0,2435895.0,34090.0,2010638.0,,,,
29620,VA,22201,22430.0,22430.0,2772234.0,20520.0,2048387.0,,,,
29621,VA,22202,13710.0,13710.0,1459407.0,12260.0,1144355.0,lidl us llc,3500 s clark st,Arlington,VA
29622,VA,22203,13270.0,13270.0,1289356.0,11500.0,1012058.0,,,,
