GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US05,5,Arkansas,,721191,Bed-and-breakfast inns,,2012,25,4634,854,180,76,24.3,1.3
0400000US05,5,Arkansas,,721199,All other traveler accommodation,,2012,50,20261,4751,863,359,15.1,6.1
0400000US05,5,Arkansas,,7212,RV (recreational vehicle) parks and recreational camps,,2012,79,36953,9169,1693,376,53.6,11.6
0400000US05,5,Arkansas,,72121,RV (recreational vehicle) parks and recreational camps,,2012,79,36953,9169,1693,376,53.6,11.6
0400000US05,5,Arkansas,,721211,RV (recreational vehicle) parks and campgrounds,,2012,26,6837,1626,289,99,15.1,10.1
0400000US05,5,Arkansas,,721214,Recreational and vacation camps (except campgrounds),,2012,53,30116,7543,1404,277,62.3,11.9
0400000US05,5,Arkansas,,7213,Rooming and boarding houses,,2012,16,9918,1450,398,106,28.7,0
0400000US05,5,Arkansas,,72131,Rooming and boarding houses,,2012,16,9918,1450,398,106,28.7,0
0400000US05,5,Arkansas,,721310,Rooming and boarding houses,,2012,16,9918,1450,398,106,28.7,0
0400000US05,5,Arkansas,,722,Food services and drinking places,,2012,4649,3660576,1019657,247675,85388,21.5,9.1
0400000US05,5,Arkansas,,7223,Special food services,,2012,233,205044,53961,13629,3519,4.4,4.5
0400000US05,5,Arkansas,,72231,Food service contractors,,2012,155,182748,47859,12345,3175,0.1,3.8
0400000US05,5,Arkansas,,722310,Food service contractors,,2012,155,182748,47859,12345,3175,0.1,3.8
0400000US05,5,Arkansas,,72232,Caterers,,2012,57,20785,5852,1259,334,38.7,9.7
0400000US05,5,Arkansas,,722320,Caterers,,2012,57,20785,5852,1259,334,38.7,9.7
0400000US05,5,Arkansas,,72233,Mobile food services,,2012,21,1511,250,25,10,62.2,20.3
0400000US05,5,Arkansas,,722330,Mobile food services,,2012,21,1511,250,25,10,62.2,20.3
0400000US05,5,Arkansas,,7224,Drinking places (alcoholic beverages),,2012,136,46041,11467,2876,1030,33.6,11
0400000US05,5,Arkansas,,72241,Drinking places (alcoholic beverages),,2012,136,46041,11467,2876,1030,33.6,11
0400000US05,5,Arkansas,,722410,Drinking places (alcoholic beverages),,2012,136,46041,11467,2876,1030,33.6,11
0400000US05,5,Arkansas,,7225,Restaurants and other eating places,,2012,4280,3409491,954229,231170,80839,22.4,9.4
0400000US05,5,Arkansas,,72251,Restaurants and other eating places,,2012,4280,3409491,954229,231170,80839,22.4,9.4
0400000US05,5,Arkansas,,722511,Full-service restaurants,,2012,1940,1392695,457419,112257,35920,30.6,10.5
0400000US05,5,Arkansas,,722513,Limited-service restaurants,,2012,1973,1836785,451887,108168,41148,16.3,8.7
0400000US05,5,Arkansas,,722514,"Cafeterias, grill buffets, and buffets",,2012,89,75171,19264,4853,1506,30.3,3.9
0400000US05,5,Arkansas,,722515,Snack and nonalcoholic beverage bars,,2012,278,104840,25659,5892,2265,15,10.3
0400000US06,6,California,,72,Accommodation and food services,,2012,78560,90830372,25147755,6097875,1394984,17.5,11.7
0400000US06,6,California,,721,Accommodation,,2012,6571,25069313,6552448,1601252,234520,4.5,12.7
