,lat,lng
101,33.9191799,-118.4164652
102,33.8883487,-118.3089624
103,33.9164032,-118.3525748
104,33.8622366,-118.3995194
105,33.8491816,-118.3884078
106,45.4408474,12.3155151
107,33.9616801,-118.3531311
108,34.0194543,-118.4911912
109,33.8358492,-118.3406288
110,34.0165053,-118.1137535
111,34.0703752,-84.276493
112,33.8536269,-118.1339563
113,33.7922392,-118.3150722
114,33.7360619,-118.2922461
115,33.8044614,-118.1678456
116,33.7700504,-118.1937395
117,34.1397292,-118.0353449
118,34.1442616,-118.0019482
119,34.1616729,-118.0528456
120,34.1477849,-118.1445155
121,34.1425078,-118.255075
122,34.1533395,-118.7616764
123,34.165357,-118.6089752
124,34.208254,-118.6058609
125,34.2506356,-118.61481
126,34.373361,-118.5400404
127,34.2819461,-118.4389719
128,34.3916641,-118.542586
129,34.456151,-118.5713823
130,34.1466467,-118.8073729
131,34.1705609,-118.8375937
132,34.1898566,-118.451357
133,34.1808392,-118.3089661
134,34.1336186,-117.9075627
135,34.1069527,-117.9353413
136,34.0122346,-117.688944
137,34.0966764,-117.7197785
138,40.7423507,-73.9833905
139,34.10639889999999,-117.5931084
140,34.0519548,-118.0467339
141,34.1008426,-117.7678355
142,51.253775,-85.323214
143,40.8259007,-74.2090053
144,34.055103,-117.7499909
145,34.1066756,-117.8067257
146,34.09611110000001,-118.1058333
147,40.7417865,-73.98477
148,34.0686208,-117.9389526
149,32.6400541,-117.0841955
150,32.5839444,-117.1130849
151,32.7169988,-116.8761347
152,32.7678287,-117.0230839
153,32.7425516,-117.0314172
154,32.6781085,-117.0991967
155,33.1580933,-117.3505939
156,32.9594891,-117.2653146
157,32.7947731,-116.9625269
158,33.1192068,-117.086421
159,33.0786552,-116.6019637
160,32.8328112,-117.2712717
161,33.1958696,-117.3794834
162,32.9628232,-117.0358646
163,33.04136039999999,-116.8792553
164,29.8832749,-97.9413941
165,32.8383828,-116.9739167
166,32.991155,-117.2711481
167,33.2000368,-117.2425355
168,33.2183701,-117.0341967
169,32.715738,-117.1610838
170,32.6858853,-117.1830891
171,33.7222445,-116.3744556
172,32.6789476,-115.4988834
173,32.8111612,-115.3802643
174,45.52102989999999,-122.6785457
175,33.739744,-116.41279
176,33.8200183,-116.3902887
177,34.5008311,-117.1858759
178,34.2438963,-116.9114215
179,34.0739016,-117.3136547
180,34.4263886,-117.3008784
181,34.0555693,-117.1825381
182,34.033625,-117.0430865
183,34.1083449,-117.2897652
184,33.9806005,-117.3754942
185,33.6680772,-117.3272615
186,33.7467471,-116.7152556
187,33.5539143,-117.2139232
188,33.6971468,-117.185294
189,33.4936391,-117.1483648
190,33.5989126,-117.2800372
191,33.6845673,-117.8265049
192,33.6412156,-117.9188221
193,33.6594835,-117.9988026
194,33.5427189,-117.7853568
195,33.5916433,-117.6986604
196,33.5684605,-117.7262981
197,33.4273521,-117.6126004
198,33.5019027,-117.6627655
199,33.640171,-117.602832
200,33.7454725,-117.867653
201,33.7420005,-117.8236391
202,33.8365932,-117.9143012
203,33.916475,-117.9002918
204,33.8703645,-117.9242123
205,33.9311257,-117.548661
206,37.06416979999999,-94.47909639999999
207,33.8710729,-117.8627548
208,33.8752935,-117.5664384
209,33.88850350000001,-117.8132571
210,34.2804923,-119.2945199
211,34.2163937,-119.0376023
